study_description,reason_for_exam,expected_protocol
MRI Brain,Longstanding diffuse headaches without a focal deficit,MRI Brain WO Contrast
MRI Brain,Known treated intracranial neoplasm with concern for progression,MRI Brain WWO Contrast
MRI Brain,Hyperacute dysarthria and unilateral weakness,MRI Brain FAST
MRI Brain,Galactorrhea and hyperprolactinemia,MRI Pituitary
MRI Brain,New asymmetric left hearing loss,MRI Internal Auditory Canal
MRI Brain,Localization workup for recurrent focal seizures,MRI Brain Epilepsy
MRI Brain,Possible multiple sclerosis after a new episode of optic neuritis,MRI Brain MS
MRI Brain,Memory loss with concern for a neurodegenerative pattern,MRI Brain Dementia
MRI Brain,Brief lancinating facial pain along the left jaw,MRI Trigeminal Neuralgia
MRI Brain,Possible normal pressure hydrocephalus with gait and urinary symptoms,MRI Brain CSF Flow
MRI Brain,Previously irradiated glioblastoma with increased enhancement on surveillance MRI,MRI Brain With Perfusion
MRI Brain,Complex new symptoms after several surgeries for an unusual skull-base lesion,Radiologist Review
